plot number,subplot,fresh weigh (g),oven dry (g)
31,R5,203,164
31,L1,114,88
31,L2,280,179
31,L3,168,134
31,L4,249,191
31,L5,193,142
32,R1,372,309
32,R2,337,271
32,R3,376,308
32,R4,264,177
32,R5,224,166
32,L1,85,62
32,L2,160,128
32,L3,246,180
32,L4,220,161
32,L5,525,316
33,R1,95,62
33,R2,143,90
33,R3,47,35
33,R4,432,344
33,R5,332,235
33,L1,369,192
33,L2,423,215
33,L3,205,132
33,L4,154,127
33,L5,383,243
34,R1,264,96
34,R2,175,89
34,R3,339,175
34,R4,149,99
34,R5,150,80
34,L1,242,123
34,L2,267,138
34,L3,261,159
34,L4,275,154
34,L5,237,123
35,R1,91,76
35,R2,102,87
35,R3,97,83
35,R4,84,67
35,R5,88,73
35,L1,121,103
35,L2,204,171
35,L3,286,248
35,L4,205,177
35,L5,300,252
36,R1,62,52
36,R2,116,93
36,R3,212,180
36,R4,108,91
36,R5,197,166
36,L1,94,77
36,L2,104,87
36,L3,209,180
36,L4,246,90
36,L5,191,168
37,R1,159,139
37,R2,150,128
37,R3,145,127
37,R4,145,124
37,R5,87,73
37,L1,133,113
37,L2,148,126
37,L3,371,336
37,L4,241,215
37,L5,214,194
38,R1,86,76
38,R2,100,87
38,R3,121,108
38,R4,136,123
38,R5,193,173
38,L1,179,158
38,L2,93,84
38,L3,189,171
38,L4,402,362
38,L5,196,172
39,R1,133,104
39,R2,124,94
39,R3,249,157
39,R4,222,155
39,R5,120,76
39,L1,280,150
39,L2,192,118
39,L3,150,104
39,L4,89,63
39,L5,176,78
40,R1,100,85
40,R2,166,117
40,R3,178,144
40,R4,192,80
40,R5,188,147
40,L1,94,79
40,L2,145,126
40,L3,84,69
40,L4,89,73
40,L5,105,88
41,R1,116,97
41,R2,85,68
41,R3,84,68
41,R4,261,224
41,R5,103,86
41,L1,97,81
41,L2,62,52
41,L3,223,192
41,L4,205,87
41,L5,126,90
42,R1,188,166
42,R2,61,51
42,R3,85,72
42,R4,95,79
42,R5,103,88
42,L1,79,65
42,L2,126,96
42,L3,95,80
42,L4,181,148
42,L5,79,66
43,R1,510,435
43,R2,174,147
43,R3,143,118
43,R4,144,119
43,R5,366,317
43,L1,148,120
43,L2,273,234
43,L3,308,249
43,L4,340,294
43,L5,351,310
44,R1,217,175
44,R2,698,555
44,R3,292,214
44,R4,195,135
44,R5,406,253
44,L1,628,513
44,L2,477,373
44,L3,514,337
44,L4,281,179
44,L5,1275,851
45,R1,0,0
45,R2,291,185
45,R3,336,231
45,R4,0,0
45,R5,243,210
45,L1,332,234
45,L2,296,182
45,L3,272,181
45,L4,289,224
45,L5,148,128
