CO2 of aboveground and ground carbon pools of forest vegetation at varying density or stand composition
,,,,,,
CARBON POOLS,Stand Composition Density
,Sparse/Grassland,Intermediate/Mixed,Dense/Pure,TOTAL AVERAGE co2
,(Mg ha^-1),(Mg ha^-1),(Mg ha^-1),(Mg ha^-1)
Tree Aboveground,,,,,,
Small Plot,14.895203034258868,107.566304903909,120.01705253401516,80.82618682406101
Large Plot,88.73823755746021,176.1791174587347,184.25265539717333,149.72333680445607
,,,,,,
Roots,,,,,,
Small Plot,3.1127806037131904,19.99973834509086,22.2401691470291,15.117562698611051
Large Plot,13.158293310724499,26.470469886974296,28.081723345270767,22.570162180989854
,,,,,,
Coursey Woody Tree (cwd),1.1504137811824269,2.477861805846702,5.143696213607689,2.9239906002122726
,,,,,,
Understorey,7.267039999999999,5.22324,3.677520000000001,5.389266666666667
,,,,,,
Necromass,11.286879999999998,18.711000000000002,20.863919999999997,16.953933333333335
,,,,,,
,,,TOTAL CO2 (Mg ha^-1),293.5044391083303
