Biomass density of aboveground and ground carbon pools of forest vegetation at varying density or stand composition
,,,,,,
CARBON POOLS,Stand Composition Density
,Sparse/Grassland,Intermediate/Mixed,Dense/Pure,TOTAL AVERAGE BIOMASS
,(Mg ha^-1),(Mg ha^-1),(Mg ha^-1),(Mg ha^-1)
Tree Aboveground,,,,,,
Small Plot,9.027395778338708,65.19169994176302,72.73760759637284,48.98556777215819
Large Plot,53.780750034824365,106.77522270226349,111.66827599828684,90.74141624512491
,,,,,,
Roots,,,,,,
Small Plot,1.8865336992201154,12.121053542479308,13.47889039213885,9.162159211279423
Large Plot,7.974723218620908,16.04270902240867,17.01922626986107,13.678886170296883
,,,,,,
Coursey Woody Tree (cwd),0.6972204734438952,1.5017344277858806,3.11739164461072,1.7721155152801653
,,,,,,
Understorey,4.4042666666666666,3.1656,2.2288,3.266222222222222
,,,,,,
Necromass,6.840533333333332,11.408711111111106,12.644800000000004,10.298014814814815
,,,,,,
,,,TOTAL BIOMASS DENSITY (Mg ha^-1),177.90438195117662
