C Stored of aboveground and ground carbon pools of forest vegetation at varying density or stand composition
,,,,,,
CARBON POOLS,Stand Composition Density
,Sparse/Grassland,Intermediate/Mixed,Dense/Pure,TOTAL AVERAGE C Stored
,(Mg ha^-1),(Mg ha^-1),(Mg ha^-1),(Mg ha^-1)
Tree Aboveground,,,,,,
Small Plot,4.062328100252419,29.336264973793366,32.73192341836778,22.043505497471187
Large Plot,24.20133751567097,48.048850216018565,50.25072419922909,40.83363731030621
,,,,,,
Roots,,,,,,
Small Plot,0.8489401646490519,5.454474094115688,6.065500676462481,4.12297164507574
Large Plot,3.588625448379409,7.219219060083899,7.65865182143748,6.155498776633596
,,,,,,
Coursey Woody Tree (cwd),0.3137492130497529,0.6757804925036461,1.4028262400748241,0.7974519818760744
,,,,,,
Understorey,1.9819200000000001,1.4245199999999998,1.00296,1.4698
,,,,,,
Necromass,3.07824,5.13392,5.6901600000000006,4.634106666666667
,,,,,,
,,,TOTAL C Stored DENSITY (Mg ha^-1),80.05697187802947
