,0-10cm,,10-20cm,,20-30cm,,0-10cm,,10-20cm,,20-30cm,,0-10cm,,10-20cm,,20-30cm,
PLOT,LOW %C,LOW %OM,LOW %C,LOW %OM,LOW %C,LOW %OM,MID %C,MID %OM,MID %C,MID %OM,MID %C,MID %OM,TOP %C,TOP %OM,TOP %C,TOP %OM,TOP %C,TOP %OM
31,4.842066667,8.328354667,4.652080537,8.001578523,4.605159915,7.920875053,4.7264,8.129408,4.918649007,8.460076291,4.411431818,7.587662727,3.556322961,6.116875494,4.064525581,6.990984,4.373707317,7.522776585
32,4.842066667,8.328354667,4.652080537,8.001578523,4.605159915,7.920875053,4.7264,8.129408,4.918649007,8.460076291,4.411431818,7.587662727,3.556322961,6.116875494,4.064525581,6.990984,4.373707317,7.522776585
33,4.768457143,8.201746286,4.661222222,8.017302222,2.960157635,5.091471133,5.195418502,8.936119824,4.864506356,8.366950932,4.994004283,8.589687366,4.324824706,7.438698494,4.214042394,7.248152918,3.760030405,6.467252297
34,3.790177384,6.5191051,4.33485,7.455942,4.343105187,7.470140922,4.554080717,7.833018834,4.678610451,8.047209976,4.469945824,7.688306817,4.282440529,7.365797709,4.277325,7.356999,4.317911765,7.426808235
35,4.659404494,8.01417573,4.589773455,7.894410343,4.66908,8.0308176,4.382801205,7.538418072,4.197195918,7.21917698,4.347586558,7.47784888,4.600638404,7.913098055,4.365086207,7.507948276,4.366852941,7.510987059
36,4.659404494,8.01417573,4.589773455,7.894410343,4.66908,8.0308176,4.382801205,7.538418072,4.197195918,7.21917698,4.347586558,7.47784888,4.600638404,7.913098055,4.365086207,7.507948276,4.366852941,7.510987059
37,4.113058696,7.074460957,2.544413793,4.376391724,3.007822581,5.173454839,2.576510261,4.431597649,1.858577438,3.196753193,1.752771429,3.014766857,1.947361522,3.349461818,1.626450644,2.797495107,2.002531447,3.444354088
38,2.089115854,3.593279268,1.227848552,2.11189951,0.6138,1.055736,3.548634146,6.103650732,3.923724289,6.748805777,4.277116071,7.356639643,4.1673125,7.1677775,4.177404517,7.18513577,3.999201342,6.878626309
39,4.259631148,7.326565574,3.616344027,6.220111726,2.38625,4.10435,4.713350467,8.106962804,3.463946809,5.957988511,2.83589404,4.877737748,4.317479212,7.426064245,2.62826087,4.520608696,2.014097222,3.464247222
40,4.744864865,8.161167568,4.597046189,7.906919446,4.701920375,8.087303044,4.732466368,8.139842152,4.496805846,7.734506054,4.495493274,7.73224843,4.586345708,7.888514617,4.398322251,7.565114271,4.37179562,7.519488467
41,4.795375,8.248045,4.738709677,8.150580645,3.341173333,5.746818133,4.629130435,7.962104348,4.451040254,7.655789237,4.292288939,7.382736975,4.106427907,7.063056,3.644333333,6.268253333,3.048557522,5.243518938
42,4.795375,8.248045,4.738709677,8.150580645,3.341173333,5.746818133,4.629130435,7.962104348,4.451040254,7.655789237,4.292288939,7.382736975,4.106427907,7.063056,3.644333333,6.268253333,3.048557522,5.243518938
43,4.795375,8.248045,4.738709677,8.150580645,3.341173333,5.746818133,4.629130435,7.962104348,4.451040254,7.655789237,4.292288939,7.382736975,4.106427907,7.063056,3.644333333,6.268253333,3.048557522,5.243518938
44,1.649166316,2.836566063,0.89297619,1.535919048,0.733095536,1.260924321,2.214604167,3.809119167,0.795947955,1.369030483,0.595945946,1.025027027,2.350916836,4.043576957,1.14446822,1.968485339,0.499285714,0.858771429
45,1.649166316,2.836566063,0.89297619,1.535919048,0.733095536,1.260924321,2.214604167,3.809119167,0.795947955,1.369030483,0.595945946,1.025027027,2.350916836,4.043576957,1.14446822,1.968485339,0.499285714,0.858771429
