,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.41,1414.75,52.55,192.68,1.34,1342.43,20.35,74.60,1.20,1200.86,21.07,77.25
10-20 cm,1.41,1414.75,37.85,138.78,1.34,1342.43,16.31,59.81,1.20,1200.86,11.48,42.11
20-30 cm,1.41,1414.75,18.71,68.61,1.34,1342.43,14.16,51.93,1.20,1200.86,7.91,28.99
totalLowSoilDensity,109.1101452383785,totalLowSoilCO2,400.0705325407211
totalMidSoilDensity,50.822096901222245,totalMidSoilCO2,186.34768863781488
totalTopSoilDensity,40.458284452831535,totalTopSoilCO2,148.34704299371563
averageSoilDensity,66.79684219747742
averageSoilDensity,244.92175472408385
