,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.01,1006.31,42.87,157.17,0.73,731.31,34.47,126.39,0.85,845.39,36.50,133.83
10-20 cm,1.01,1006.31,36.39,133.44,0.73,731.31,25.33,92.88,0.85,845.39,22.22,81.47
20-30 cm,1.01,1006.31,24.01,88.05,0.73,731.31,20.74,76.04,0.85,845.39,17.03,62.43
totalLowSoilDensity,103.27030426665306,totalLowSoilCO2,378.6577823110612
totalMidSoilDensity,80.54055168963129,totalMidSoilCO2,295.3153561953147
totalTopSoilDensity,75.74521249052759,totalTopSoilCO2,277.7324457986012
averageSoilDensity,86.51868948227064
averageSoilDensity,317.2351947683257
