,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.18,1175.39,59.36,217.64,0.86,857.61,40.14,147.17,0.75,748.62,32.64,119.68
10-20 cm,1.18,1175.39,59.12,216.78,0.86,857.61,40.14,147.17,0.75,748.62,22.08,80.98
20-30 cm,1.18,1175.39,59.71,218.94,0.86,857.61,40.48,148.42,0.75,748.62,29.05,106.50
totalLowSoilDensity,178.18944795273987,totalLowSoilCO2,653.3613091600462
totalMidSoilDensity,120.75127317172539,totalMidSoilCO2,442.7546682963264
totalTopSoilDensity,83.77113465064167,totalTopSoilCO2,307.16082705235283
averageSoilDensity,127.57061859170231
averageSoilDensity,467.75893483624185
