,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.75,751.68,32.92,120.72,0.75,746.59,35.24,129.21,1.03,1025.67,46.87,171.87
10-20 cm,0.75,751.68,30.37,111.35,0.75,746.59,33.97,124.56,1.03,1025.67,46.26,169.61
20-30 cm,0.75,751.68,28.04,102.80,0.75,746.59,31.80,116.62,1.03,1025.67,46.26,169.61
totalLowSoilDensity,91.32919128132,totalLowSoilCO2,334.87370136484003
totalMidSoilDensity,101.0133428396822,totalMidSoilCO2,370.3822570788347
totalTopSoilDensity,139.38816459564063,totalTopSoilCO2,511.0899368506823
averageSoilDensity,110.57689957221426
averageSoilDensity,405.44863176478566
