,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.10,1101.04,46.10,169.04,1.41,1406.60,60.35,221.27,1.09,1091.87,45.56,167.06
10-20 cm,1.10,1101.04,27.28,100.03,1.41,1406.60,58.42,214.21,1.09,1091.87,46.24,169.56
20-30 cm,1.10,1101.04,26.64,97.68,1.41,1406.60,51.77,189.83,1.09,1091.87,46.08,168.96
totalLowSoilDensity,100.02174484858423,totalLowSoilCO2,366.7463977781422
totalMidSoilDensity,170.5369233441536,totalMidSoilCO2,625.3020522618965
totalTopSoilDensity,137.8863537119576,totalTopSoilCO2,505.5832969438445
averageSoilDensity,136.1483406348985
averageSoilDensity,499.21058232796105
