,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.84,839.27,39.28,144.02,0.91,907.52,40.23,147.52,0.90,904.46,43.96,161.17
10-20 cm,0.84,839.27,38.69,141.87,0.91,907.52,38.21,140.09,0.90,904.46,43.96,161.17
20-30 cm,0.84,839.27,38.86,142.48,0.91,907.52,40.29,147.74,0.90,904.46,43.05,157.86
totalLowSoilDensity,116.82705235282134,totalLowSoilCO2,428.36585862701156
totalMidSoilDensity,118.73160348339782,totalMidSoilCO2,435.3492127724587
totalTopSoilDensity,130.96598085149725,totalTopSoilCO2,480.2085964554899
averageSoilDensity,122.17487889590547
averageSoilDensity,447.9745559516534
