,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.36,1362.80,42.79,156.90,1.38,1375.03,26.34,96.59,1.42,1417.80,48.98,179.59
10-20 cm,1.36,1362.80,42.66,156.40,1.38,1375.03,26.68,97.81,1.42,1417.80,27.93,102.41
20-30 cm,1.36,1362.80,38.84,142.41,1.38,1375.03,32.86,120.50,1.42,1417.80,22.54,82.66
totalLowSoilDensity,124.28763495620288,totalLowSoilCO2,455.72132817274394
totalMidSoilDensity,85.88103101446323,totalMidSoilCO2,314.8971137196985
totalTopSoilDensity,99.45356528824607,totalTopSoilCO2,364.6630727235689
averageSoilDensity,103.20741041963738
averageSoilDensity,378.4271715386705
