,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.94,944.18,40.60,148.86,1.02,1020.57,44.98,164.94,1.01,1012.43,43.94,161.12
10-20 cm,0.94,944.18,31.11,114.05,1.02,1020.57,42.66,156.41,1.01,1012.43,45.00,165.01
20-30 cm,0.94,944.18,23.60,86.55,1.02,1020.57,38.70,141.88,1.01,1012.43,42.73,156.69
totalLowSoilDensity,95.30850223866368,totalLowSoilCO2,349.4645082084335
totalMidSoilDensity,126.33602888549603,totalMidSoilCO2,463.2321059134854
totalTopSoilDensity,131.67851896121408,totalTopSoilCO2,482.82123619111826
averageSoilDensity,117.77435002845793
averageSoilDensity,431.83928343767906
