,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.58,583.62,27.19,99.71,0.88,883.07,38.70,141.91,1.09,1085.76,49.95,183.16
10-20 cm,0.58,583.62,26.79,98.22,0.88,883.07,37.06,135.90,1.09,1085.76,47.39,173.78
20-30 cm,0.58,583.62,27.25,99.92,0.88,883.07,38.39,140.77,1.09,1085.76,47.41,173.85
totalLowSoilDensity,81.23000412280504,totalLowSoilCO2,297.84334845028513
totalMidSoilDensity,114.15985996564474,totalMidSoilCO2,418.586153207364
totalTopSoilDensity,144.7599070119372,totalTopSoilCO2,530.7863257104365
averageSoilDensity,113.38325703346231
averageSoilDensity,415.7386091226952
