,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.85,848.44,32.16,117.91,1.03,1026.69,46.76,171.44,0.86,862.70,36.94,135.46
10-20 cm,0.85,848.44,36.78,134.86,1.03,1026.69,48.03,176.13,0.86,862.70,36.90,135.30
20-30 cm,0.85,848.44,36.85,135.11,1.03,1026.69,45.89,168.27,0.86,862.70,37.25,136.59
totalLowSoilDensity,105.7848281894785,totalLowSoilCO2,387.87770336142114
totalMidSoilDensity,140.68301169215727,totalMidSoilCO2,515.8377095379099
totalTopSoilDensity,111.09587154224893,totalTopSoilCO2,407.35152898824606
averageSoilDensity,119.18790380796156
averageSoilDensity,437.0223139625257
