,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.42,1424.93,19.03,69.78,1.59,1588.92,38.95,142.83,1.35,1351.60,27.79,101.90
10-20 cm,1.42,1424.93,13.74,50.36,1.59,1588.92,20.57,75.42,1.35,1351.60,17.52,64.25
20-30 cm,1.42,1424.93,15.63,57.30,1.59,1588.92,17.93,65.74,1.35,1351.60,15.91,58.32
totalLowSoilDensity,48.393833541647986,totalLowSoilCO2,177.44405631937593
totalMidSoilDensity,77.45350726054185,totalMidSoilCO2,283.9961932886535
totalTopSoilDensity,61.219590431258894,totalTopSoilCO2,224.47183158128263
averageSoilDensity,62.35564374448291
averageSoilDensity,228.63736039643734
