,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.02,1022.61,22.16,81.24,1.08,1075.58,29.68,108.81,1.23,1233.45,24.08,88.28
10-20 cm,1.02,1022.61,8.30,30.43,1.08,1075.58,27.93,102.41,1.23,1233.45,8.59,31.49
20-30 cm,1.02,1022.61,4.25,15.57,1.08,1075.58,20.10,73.69,1.23,1233.45,5.39,19.76
totalLowSoilDensity,34.70261309594622,totalLowSoilCO2,127.24291468513614
totalMidSoilDensity,77.70250164090444,totalMidSoilCO2,284.9091726833163
totalTopSoilDensity,38.055832030362595,totalTopSoilCO2,139.53805077799615
averageSoilDensity,50.15364892240442
averageSoilDensity,183.89671271548286
