,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.05,1045.02,48.46,177.68,0.97,970.67,42.29,155.05,1.17,1173.36,49.89,182.94
10-20 cm,1.05,1045.02,45.77,167.84,0.97,970.67,42.05,154.18,1.17,1173.36,40.98,150.25
20-30 cm,1.05,1045.02,27.29,100.08,0.97,970.67,41.19,151.02,1.17,1173.36,28.62,104.92
totalLowSoilDensity,121.5252076812589,totalLowSoilCO2,445.59242816461597
totalMidSoilDensity,125.52230359306375,totalMidSoilCO2,460.24844650790044
totalTopSoilDensity,119.48518644970463,totalTopSoilCO2,438.1123503155836
averageSoilDensity,122.1775659080091
averageSoilDensity,447.98440832936666
