,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.73,725.20,34.58,126.80,0.63,627.42,32.60,119.52,1.01,1010.39,43.70,160.22
10-20 cm,0.73,725.20,33.80,123.94,0.63,627.42,30.52,111.91,1.01,1010.39,42.58,156.12
20-30 cm,0.73,725.20,21.47,78.71,0.63,627.42,31.33,114.89,1.01,1010.39,37.99,139.30
totalLowSoilDensity,89.85092629863514,totalLowSoilCO2,329.45339642832886
totalMidSoilDensity,94.45121563308209,totalMidSoilCO2,346.3211239879676
totalTopSoilDensity,124.26671750825014,totalTopSoilCO2,455.64463086358387
averageSoilDensity,102.85628647998912
averageSoilDensity,377.1397170932934
