,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.75,751.68,34.35,125.96,0.82,816.87,37.49,137.48,0.76,759.83,32.82,120.36
10-20 cm,0.75,751.68,34.35,125.96,0.82,816.87,39.21,143.77,0.76,759.83,36.62,134.29
20-30 cm,0.75,751.68,31.19,114.38,0.82,816.87,31.37,115.01,0.76,759.83,31.53,115.62
totalLowSoilDensity,99.89834996944387,totalLowSoilCO2,366.2939498879609
totalMidSoilDensity,108.07150132409859,totalMidSoilCO2,396.2621715216949
totalTopSoilDensity,100.98125891220205,totalTopSoilCO2,370.2646160114075
averageSoilDensity,102.98370340191484
averageSoilDensity,377.60691247368777
