,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.18,1180.48,12.12,44.44,1.13,1126.50,15.33,56.21,1.57,1567.53,35.87,131.53
10-20 cm,1.18,1180.48,20.38,74.72,1.13,1126.50,22.95,84.16,1.57,1567.53,16.76,61.46
20-30 cm,1.18,1180.48,21.61,79.24,1.13,1126.50,26.52,97.25,1.57,1567.53,9.61,35.23
totalLowSoilDensity,54.10718753803218,totalLowSoilCO2,198.39302097278465
totalMidSoilDensity,64.80587802147076,totalMidSoilCO2,237.62155274539276
totalTopSoilDensity,62.24062463103484,totalTopSoilCO2,228.21562364712776
averageSoilDensity,60.38456339684593
averageSoilDensity,221.41006578843508
