,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.30,1301.69,28.20,103.42,0.98,976.78,26.95,98.81,1.38,1380.12,26.94,98.78
10-20 cm,1.30,1301.69,10.56,38.73,0.98,976.78,25.36,93.00,1.38,1380.12,9.61,35.24
20-30 cm,1.30,1301.69,5.41,19.82,0.98,976.78,18.25,66.92,1.38,1380.12,6.03,22.11
totalLowSoilDensity,44.1732465504176,totalLowSoilCO2,161.96857068486452
totalMidSoilDensity,70.56505594093501,totalMidSoilCO2,258.73853845009506
totalTopSoilDensity,42.58105070284172,totalTopSoilCO2,156.13051924375296
averageSoilDensity,52.43978439806477
averageSoilDensity,192.27920945957086
