,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.43,1426.97,19.06,69.88,1.44,1440.21,35.31,129.46,1.49,1490.12,30.64,112.34
10-20 cm,1.43,1426.97,13.75,50.43,1.44,1440.21,18.64,68.36,1.49,1490.12,19.32,70.83
20-30 cm,1.43,1426.97,15.65,57.39,1.44,1440.21,16.25,59.59,1.49,1490.12,17.54,64.30
totalLowSoilDensity,48.463017006325124,totalLowSoilCO2,177.6977290231921
totalMidSoilDensity,70.2046533759014,totalMidSoilCO2,257.4170623783051
totalTopSoilDensity,67.49379110846405,totalTopSoilCO2,247.47723406436813
averageSoilDensity,62.05382049689686
averageSoilDensity,227.53067515528846
