,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.57,570.38,24.98,91.60,0.80,799.55,37.74,138.38,0.79,787.33,35.98,131.93
10-20 cm,0.57,570.38,23.04,84.49,0.80,799.55,36.38,133.39,0.79,787.33,35.51,130.20
20-30 cm,0.57,570.38,21.28,78.01,0.80,799.55,34.06,124.89,0.79,787.33,35.51,130.20
totalLowSoilDensity,69.30128335709918,totalLowSoilCO2,254.104705642697
totalMidSoilDensity,108.17936443267466,totalMidSoilCO2,396.65766958647373
totalTopSoilDensity,106.99806477897737,totalTopSoilCO2,392.3262375229169
averageSoilDensity,94.82623752291708
averageSoilDensity,347.69620425069587
