,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.34,1337.34,27.94,102.44,1.34,1338.36,47.49,174.14,1.15,1149.93,47.92,175.71
10-20 cm,1.34,1337.34,16.42,60.21,1.34,1338.36,52.51,192.55,1.15,1149.93,48.04,176.14
20-30 cm,1.34,1337.34,8.21,30.10,1.34,1338.36,57.24,209.89,1.15,1149.93,45.99,168.62
totalLowSoilDensity,52.56766821224283,totalLowSoilCO2,192.7481167782237
totalMidSoilDensity,157.250045843186,totalMidSoilCO2,576.5835014250152
totalTopSoilDensity,141.9462602089122,totalTopSoilCO2,520.4696207660114
averageSoilDensity,117.25465808811369
averageSoilDensity,429.9337463230834
