MONTH,DIESEL,GAS,BLENDED GAS,BLENDED DIESEL,LPG
1,434324.1,627,0,0,0
2,379855.7,633,0,0,0
3,506943.3,705,0,0,0
4,442888,912,0,0,0
5,517911,1012,0,0,0
6,489718,777,0,0,0
7,448244,485,0,0,0
8,383969,540,0,0,0
9,364742,646,0,0,0
10,400669,651,0,0,0
11,377043,512,0,0,0
12,335688,817,0,0,0
