,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.46,462.42,22.58,82.81,0.66,656.96,28.53,104.60,0.58,583.62,25.63,93.96
10-20 cm,0.46,462.42,21.40,78.48,0.66,656.96,13.04,47.81,0.58,583.62,11.65,42.70
20-30 cm,0.46,462.42,13.37,49.03,0.66,656.96,9.28,34.02,0.58,583.62,10.38,38.05
totalLowSoilDensity,57.35639896323079,totalLowSoilCO2,210.30679619851287
totalMidSoilDensity,50.84398412808107,totalMidSoilCO2,186.42794180296391
totalTopSoilDensity,47.647879338480344,totalTopSoilCO2,174.70889090776123
averageSoilDensity,51.949420809930736
averageSoilDensity,190.48120963641267
