,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.89,886.13,42.91,157.33,0.97,971.68,45.93,168.39,1.09,1093.91,38.90,142.64
10-20 cm,0.89,886.13,41.22,151.15,0.97,971.68,47.79,175.24,1.09,1093.91,44.46,163.03
20-30 cm,0.89,886.13,40.81,149.63,0.97,971.68,42.87,157.17,1.09,1093.91,47.84,175.43
totalLowSoilDensity,124.93784063485435,totalLowSoilCO2,458.10541566113267
totalMidSoilDensity,136.58466802862088,totalMidSoilCO2,500.8104494382766
totalTopSoilDensity,131.2095436195355,totalTopSoilCO2,481.1016599382969
averageSoilDensity,130.91068409433691
averageSoilDensity,480.0058416792354
