,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.85,854.55,37.43,137.24,0.66,655.94,30.96,113.52,0.68,679.36,31.05,113.84
10-20 cm,0.85,854.55,34.52,126.59,0.66,655.94,29.85,109.43,0.68,679.36,30.64,112.34
20-30 cm,0.85,854.55,31.87,116.87,0.66,655.94,27.94,102.46,0.68,679.36,30.64,112.34
totalLowSoilDensity,103.82817274393969,totalLowSoilCO2,380.7033000611122
totalMidSoilDensity,88.74842126706051,totalMidSoilCO2,325.4108779792218
totalTopSoilDensity,92.3256264004889,totalTopSoilCO2,338.52729680179266
averageSoilDensity,94.9674068038297
averageSoilDensity,348.21382494737554
