,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.25,1245.67,20.54,75.33,1.29,1287.43,28.51,104.54,1.28,1276.23,30.00,110.01
10-20 cm,1.25,1245.67,11.12,40.79,1.29,1287.43,10.25,37.57,1.28,1276.23,14.61,53.56
20-30 cm,1.25,1245.67,9.13,33.48,1.29,1287.43,7.67,28.13,1.28,1276.23,6.37,23.36
totalLowSoilDensity,40.798697549052754,totalLowSoilCO2,149.59522434652678
totalMidSoilDensity,46.431183112161335,totalMidSoilCO2,170.24767141125824
totalTopSoilDensity,50.98108041159096,totalTopSoilCO2,186.9306281758335
averageSoilDensity,46.07032035760168
averageSoilDensity,168.92450797787285
