,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.56,561.21,28.34,103.92,0.66,662.05,30.98,113.61,0.65,648.81,28.29,103.72
10-20 cm,0.56,561.21,28.23,103.51,0.66,662.05,30.98,113.61,0.65,648.81,19.14,70.18
20-30 cm,0.56,561.21,28.51,104.54,0.66,662.05,31.25,114.58,0.65,648.81,25.17,92.30
totalLowSoilDensity,85.0800570380933,totalLowSoilCO2,311.9602091396754
totalMidSoilDensity,93.21654104705641,totalMidSoilCO2,341.7939838392068
totalTopSoilDensity,72.60165003055612,totalTopSoilCO2,266.20605011203907
averageSoilDensity,83.63274937190194
averageSoilDensity,306.6534143636404
