,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.21,1214.10,49.94,183.10,1.12,1121.41,28.89,105.94,1.25,1245.67,24.26,88.94
10-20 cm,1.21,1214.10,30.89,113.27,1.12,1121.41,20.84,76.42,1.25,1245.67,20.26,74.29
20-30 cm,1.21,1214.10,36.52,133.90,1.12,1121.41,19.66,72.07,1.25,1245.67,24.94,91.46
totalLowSoilDensity,117.34601470197597,totalLowSoilCO2,430.2687205739119
totalMidSoilDensity,69.39124974463229,totalMidSoilCO2,254.4345823969851
totalTopSoilDensity,69.46290729984722,totalTopSoilCO2,254.69732676610644
averageSoilDensity,85.40005724881848
averageSoilDensity,313.1335432456678
