,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.56,1561.42,16.03,58.77,1.30,1300.67,17.70,64.90,1.44,1438.17,32.91,120.68
10-20 cm,1.56,1561.42,26.95,98.83,1.30,1300.67,26.50,97.17,1.44,1438.17,15.38,56.39
20-30 cm,1.56,1561.42,28.58,104.81,1.30,1300.67,30.62,112.29,1.44,1438.17,8.81,32.32
totalLowSoilDensity,71.56714279189245,totalLowSoilCO2,262.41285690360564
totalMidSoilDensity,74.82559333943776,totalMidSoilCO2,274.3605089112718
totalTopSoilDensity,57.10445872580973,totalTopSoilCO2,209.383015327969
averageSoilDensity,67.83239828571331
averageSoilDensity,248.71879371428216
