,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.01,1006.31,47.75,175.08,0.73,731.31,34.61,126.90,0.85,845.39,38.77,142.17
10-20 cm,1.01,1006.31,46.26,169.62,0.73,731.31,32.89,120.58,0.85,845.39,37.18,136.34
20-30 cm,1.01,1006.31,47.32,173.49,0.73,731.31,32.88,120.55,0.85,845.39,36.96,135.51
totalLowSoilDensity,141.32517266094928,totalLowSoilCO2,518.192299756814
totalMidSoilDensity,100.37056040317782,totalMidSoilCO2,368.02538814498536
totalTopSoilDensity,112.9136766201874,totalTopSoilCO2,414.0168142740205
averageSoilDensity,118.20313656143817
averageSoilDensity,433.41150072527324
