,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,1.01,1007.33,16.61,60.91,1.11,1113.26,24.65,90.40,1.14,1143.82,26.89,98.60
10-20 cm,1.01,1007.33,9.00,32.98,1.11,1113.26,8.86,32.49,1.14,1143.82,13.09,48.00
20-30 cm,1.01,1007.33,7.38,27.08,1.11,1113.26,6.63,24.33,1.14,1143.82,5.71,20.94
totalLowSoilDensity,32.9925689910165,totalLowSoilCO2,120.97275296706049
totalMidSoilDensity,40.149749320880005,totalMidSoilCO2,147.21574750989333
totalTopSoilDensity,45.69174245986963,totalTopSoilCO2,167.53638901952198
averageSoilDensity,39.61135359058871
averageSoilDensity,145.24162983215862
