,low,,,,mid,,,,high,,,
,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2,BD g/cm3,Weight,Soil Density,Soil CO2
0-10 cm,0.98,979.83,42.92,157.36,0.83,826.03,38.99,142.96,0.82,817.89,37.38,137.05
10-20 cm,0.98,979.83,39.59,145.15,0.83,826.03,37.58,137.81,0.82,817.89,36.89,135.25
20-30 cm,0.98,979.83,36.55,134.01,0.83,826.03,35.19,129.03,0.82,817.89,36.89,135.25
totalLowSoilDensity,119.0497046241597,totalLowSoilCO2,436.5155836219189
totalMidSoilDensity,111.7623752291709,totalMidSoilCO2,409.7953758402933
totalTopSoilDensity,111.1506416785496,totalTopSoilCO2,407.55235282134856
averageSoilDensity,113.98757384396008
averageSoilDensity,417.95443742785363
