plotnumber,treenumber,common name,dbh,,
7,5,Benguet Pine (forked),33.5,,
7,6,Benguet Pine,33.8,,
7,7,Benguet Pine,30.5,,
7,8,Benguet Pine,31,,
7,9,Benguet Pine,31.5,,
7,10,Benguet Pine,31,,
7,11,Benguet Pine,39,,
7,12,Benguet Pine,37,,
7,13,Benguet Pine,39,,
7,14,Benguet Pine,35,,
7,15,Benguet Pine,37,,
7,16,Benguet Pine,35,,
7,17,Benguet Pine,34.5,,
7,18,Benguet Pine,33.1,,
7,19,Benguet Pine,31,,
7,20,Benguet Pine,43,,
7,21,Benguet Pine,37,,
7,22,Benguet Pine,31,,
7,23,Benguet Pine,38,,
7,24,Benguet Pine,36,,
7,25,Benguet Pine,31,,
7,26,Benguet Pine,34,,
7,27,Benguet Pine,36,,
8,1,Benguet Pine,42.4,,
8,2,Benguet Pine,40.3,,
8,3,Benguet Pine,37.8,,
8,4,Benguet Pine,43.2,,
8,5,Benguet Pine,43,,
8,6,Benguet Pine,64.4,,
8,7,Benguet Pine,36.2,,
8,8,Benguet Pine,65.1,,
8,9,Benguet Pine,38.8,,
8,10,Benguet Pine,33.3,,
8,11,Benguet Pine,45.6,,
8,12,Benguet Pine,31.5,,
8,13,Benguet Pine,43,,
8,14,Benguet Pine,75.8,,
8,15,Benguet Pine,52.8,,
8,16,Benguet Pine,48.1,,
8,17,Benguet Pine,50.3,,
8,18,Benguet Pine,48,,
8,19,Benguet Pine,31.2,,
8,20,Benguet Pine,38.5,,
8,21,Benguet Pine,37,,
8,22,Benguet Pine,39,,
8,23,Benguet Pine,42,,
8,24,Benguet Pine,32,,
8,25,Benguet Pine,34,,
8,26,Benguet Pine,42,,
8,27,Benguet Pine,42,,
8,28,Benguet Pine,49,,
8,29,Benguet Pine,39.2,,
9,1,Alnus,30.03,,
9,2,Alnus,30.01,,
10,1,Benguet Pine,50.8,,
10,2,Benguet Pine,31,,
10,3,Benguet Pine,36.5,,
11,1,Benguet Pine,31.7,,
11,2,Benguet Pine,50.22,,
11,3,Benguet Pine,37.4,,
11,4,Benguet Pine,34.5,,
11,5,Benguet Pine,32,,
11,6,Benguet Pine,43.5,,
11,7,Benguet Pine,30.5,,
11,8,Benguet Pine,30.6,,
11,9,Benguet Pine,46.7,,
11,10,Benguet Pine,53.5,,
11,11,Benguet Pine,50.4,,
11,12,Benguet Pine,40.5,,
11,13,Benguet Pine,32.5,,
11,14,Benguet Pine,34.8,,
11,15,Benguet Pine,33.7,,
11,16,Benguet Pine,65.5,,
11,17,Benguet Pine,35.7,,
11,18,Benguet Pine,40.5,,
11,19,Benguet Pine,35.5,,
12,1,Benguet Pine,52,,
12,2,Benguet Pine,78,,
12,3,Benguet Pine,50,,
12,4,Benguet Pine,96,,
12,5,Benguet Pine,37,,
12,6,Benguet Pine,33.3,,
12,7,Benguet Pine,43.3,,
12,8,Benguet Pine,72,,
12,9,Benguet Pine,80.8,,
12,10,Benguet Pine,37,,
12,11,Benguet Pine,70.36,,
12,12,Benguet Pine,70.53,,
13,1,Benguet Pine,38.1,,
13,2,Benguet Pine,30.1,,
13,3,Benguet Pine,33.2,,
13,4,Benguet Pine,47.5,,
13,5,Benguet Pine,60,,
13,6,Benguet Pine,52.1,,
13,7,Benguet Pine,41,,
13,8,Benguet Pine,31.9,,
13,9,Benguet Pine,38.4,,
13,10,Benguet Pine,30.5,,
13,11,Benguet Pine,30.3,,
13,12,Benguet Pine,36.5,,
13,13,Benguet Pine,35.4,,
13,14,Benguet Pine,74.4,,
13,15,Benguet Pine,89.4,,
13,16,Benguet Pine,65.44,,
14,1,Benguet Pine,30.9,,
14,2,Benguet Pine,32,,
14,3,Benguet Pine,38.1,,
14,4,Benguet Pine,32,,
14,5,Benguet Pine,37.5,,
14,6,Benguet Pine,39.5,,
