plot number,subplot,fresh weight (g),oven dry weight (g)
31,L3,62.66,27
31,L4,36,12
31,L5,73,34
32,R1,587,253
32,R2,156,44
32,R3,79,25
32,R4,76,27
32,R5,90,36
32,L1,48,17
32,L2,170,75
32,L3,215,91
32,L4,326,147
32,L5,279,108
33,R1,405,124
33,R2,117,37
33,R3,46,15
33,R4,274,112
33,R5,54,20
33,L1,108,40
33,L2,437,141
33,L3,191,78
33,L4,77,28
33,L5,44,18
34,R1,176,52
34,R2,118,34
34,R3,163,57
34,R4,73,25
34,R5,196,71
34,L1,133,48
34,L2,88,29
34,L3,117,37
34,L4,146,53
34,L5,179,61
35,R1,185,72
35,R2,288,106
35,R3,381,148
35,R4,360,141
35,R5,451,174
35,L1,110,51
35,L2,180,74
35,L3,345,128
35,L4,292,110
35,L5,355,138
36,R1,452,154
36,R2,120,48
36,R3,263,97
36,R4,532,227
36,R5,337,125
36,L1,357,126
36,L2,401,151
36,L3,252,113
36,L4,366,135
36,L5,346,145
37,R1,30,17
37,R2,25,15
37,R3,32,14
37,R4,66,33
37,R5,72,31
37,L1,8,0
37,L2,88,38
37,L3,28,7
37,L4,161,66
37,L5,137,59
38,R1,48,40
38,R2,16,10
38,R3,27,20
38,R4,28,22
38,R5,23,15
38,L1,23,13
38,L2,14,9
38,L3,20,14
38,L4,12,7
38,L5,25,13
39,R1,219,90
39,R2,497,210
39,R3,196,87
39,R4,268,118
39,R5,440,187
39,L1,0,0
39,L2,114,46
39,L3,177,72
39,L4,147,61
39,L5,78,55
40,R1,181,102
40,R2,206,132
40,R3,273,144
40,R4,91,35
40,R5,318,226
40,L1,345,180
40,L2,391,234
40,L3,149,74
40,L4,200,89
40,L5,416,192
41,R1,27,16
41,R2,132,50
41,R3,134,57
41,R4,74,36
41,R5,88,72
41,L1,41,21
41,L2,135,68
41,L3,174,75
41,L4,114,47
41,L5,204,76
42,R1,335,171
42,R2,99,55
42,R3,234,100
42,R4,214,93
42,R5,183,77
42,L1,29,16
42,L2,164,65
42,L3,207,80
42,L4,48,24
42,L5,127,56
43,R1,158,49
43,R2,197,73
43,R3,93,34
43,R4,102,37
43,R5,200,87
43,L1,102,45
43,L2,94,42
43,L3,67,29
43,L4,196,72
43,L5,171,72
44,R1,105,44
44,R2,176,85
44,R3,168,61
44,R4,116,47
44,R5,67,26
44,L1,63,29
44,L2,98,39
44,L3,126,49
44,L4,72,25
44,L5,130,62
45,R1,93,34
45,R2,143,59
45,R3,91,42
45,R4,75,44
45,R5,72,33
45,L1,126,38
45,L2,22,9
45,L3,32,11
45,L4,98,40
45,L5,72,28
