PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

BIG PLOT #,TBD (Mg ha^-1),TREE CARBON STOCK (Mg ha^-1),TREE CO2 (Mg ha^-1),ROOT BIOMASS (Mg ha^-1),ROOT CARBON STOCK (Mg ha^-1),ROOT CO2 (Mg ha^-1)
1,54.957940659252614,24.731073296663684,90.68060208776683,8.74428715361223,3.9349292191255048,14.428073803460183
2,134.0819986531423,60.33689939391406,221.23529777768488,21.58287704155923,9.712294668701652,35.61174711857273
3,65.71116756430203,29.57002540393591,108.42342648109832,10.10543163691394,4.547444236611274,16.673962200908
4,156.9157758797689,70.61209914589601,258.9110302016188,25.61931664885588,11.528692491985145,42.2718724706122
5,127.29400985732272,57.28230443579525,210.03511626458257,20.402604308343925,9.181171938754765,33.66429710876747
6,95.60097778636258,43.02044000386317,157.7416133474983,15.463004925191198,6.958352216336039,25.513958126565477
7,77.86093838306311,35.037422272378414,128.47054833205414,12.863942864875408,5.788774289193932,21.225505727044418
8,143.09010517837882,64.3905473302705,236.09867354432515,21.962872450440457,9.883292602698205,36.23873954322675
9,6.472390463128665,2.9125757084078994,10.679444264162298,1.056985898398926,0.4756436542795167,1.7440267323582281
10,11.807199746128989,5.313239885758045,19.48187958111283,1.8658777011077234,0.8396449654984756,3.078698206827744
11,77.76440905143389,34.99398407314524,128.3112749348659,12.204840859053162,5.492178386573922,20.137987417437717
12,123.09079996261734,55.39085998317779,203.09981993831863,17.195943644945118,7.738174640225302,28.373307014159444
13,96.42840423456256,43.39278190555316,159.1068669870282,14.201678161921523,6.390755172864684,23.432768967170507
14,161.3779321005704,72.62006944525669,266.27358796594115,24.302340533821084,10.936053240219485,40.098861880804776
15,68.64631103461502,30.890839965576767,113.26641320711481,9.644887572048196,4.340199407421688,15.91406449387952
16,135.7711119769021,61.09700038960597,224.0223347618885,18.72050094673699,8.424225426031644,30.888826562116027
17,75.60059910908072,34.020269599086326,124.7409885299832,11.443314538290844,5.149491542230879,18.88146898817989
18,111.09055951524569,49.99075178186055,183.29942320015536,16.200315998253966,7.290142199214282,26.730521397119034
19,192.5273853818864,86.63732342184886,317.6701858801125,28.18457115811187,12.683057021150336,46.50454241088458
20,189.84353938238218,85.42959272207199,313.24183998093054,27.81582071615811,12.517119322271153,45.896104181660895
21,99.50588786257507,44.777649538158784,164.18471497324887,15.023870784169699,6.760741852876364,24.78938679388
22,88.53538041857281,39.84092118835777,146.08337769064514,12.769722760383528,5.746375242172587,21.070042554632824
23,68.52976472469705,30.83839412611367,113.0741117957501,9.996172889360656,4.498277800212295,16.49368526744508
24,97.81729221838273,44.01778149827223,161.39853216033148,14.463570590547606,6.508606765746424,23.86489147440355
25,72.26619313743224,32.51978691184451,119.2392186767632,10.645200238148341,4.790340107166755,17.564580392944762
26,124.70503470965956,56.117265619346796,205.76330727093824,17.686432150494507,7.95889446772253,29.18261304831594
27,55.760702673130055,25.092316202908524,92.00515941066459,8.143469523158554,3.664561285421349,13.436724713211618
28,142.1827342398625,63.982230407938125,234.6015114957732,20.56504920199644,9.254272140898399,33.932331183294124
29,88.33909871090938,39.75259441990924,145.75951287300052,13.661379851829011,6.147620933323055,22.541276755517867
30,119.93101794494194,53.96895807522388,197.8861796091542,17.32423401078642,7.795905304853889,28.5849861177976
31,81.31921153925941,36.593645192666756,134.17669903977807,12.367497271330494,5.565373772098723,20.406370497695313
32,91.75210374660527,41.288446685972374,151.39097118189872,13.970472815901832,6.286712767155824,23.051280146238025
33,101.70673869901965,45.76803241455883,167.81611885338242,15.972112153406606,7.187450469032973,26.353985053120898
34,135.9334134833008,61.17003606748537,224.29013224744628,21.338087085818746,9.602139188618436,35.207843691600914
35,115.09451815423698,51.79253316940664,189.90595495449102,16.941564608946127,7.623704074025759,27.953581604761116
36,22.615025635309564,10.176761535889304,37.314792298260784,3.392910990110805,1.5268099455498625,5.598303133682829
37,82.60288410018248,37.17129784508211,136.29475876530103,11.90762412323943,5.358430855457744,19.647579803345064
38,12.891602217935061,5.801220998070778,21.27114365959285,2.1584844146338824,0.9713179865852474,3.5614992841459068
39,29.061990186292938,13.077895583831824,47.95228380738335,4.281999765442082,1.926899894448937,7.065299612979437
40,7.980665753621465,3.59129958912966,13.168098493475417,1.2578925889867154,0.5660516650440219,2.07552277182808
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,183.44985708517234,82.55243568832756,302.69226419053444,28.182105757076748,12.681947590684539,46.500474499176654
45,160.7237493341676,72.32568720037541,265.19418640137656,24.73238717735736,11.129574229810814,40.808438842639646
