PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

MAIN PLOT #,ROOT BIOMASS (Mg ha^-1),ROOT CARBON STOCK (Mg ha^-1),ROOT CO2 (Mg ha^-1)
1,8.74428715361223,3.9349292191255048,14.428073803460183
2,21.58287704155923,9.712294668701652,35.61174711857273
3,10.10543163691394,4.547444236611274,16.673962200908
4,25.61931664885588,11.528692491985145,42.2718724706122
5,20.402604308343925,9.181171938754765,33.66429710876747
6,15.463004925191198,6.958352216336039,25.513958126565477
7,12.863942864875408,5.788774289193932,21.225505727044418
8,21.962872450440457,9.883292602698205,36.23873954322675
9,1.056985898398926,0.4756436542795167,1.7440267323582281
10,1.8658777011077234,0.8396449654984756,3.078698206827744
11,12.204840859053162,5.492178386573922,20.137987417437717
12,17.195943644945118,7.738174640225302,28.373307014159444
13,14.201678161921523,6.390755172864684,23.432768967170507
14,24.302340533821084,10.936053240219485,40.098861880804776
15,9.644887572048196,4.340199407421688,15.91406449387952
16,18.72050094673699,8.424225426031644,30.888826562116027
17,11.443314538290844,5.149491542230879,18.88146898817989
18,16.200315998253966,7.290142199214282,26.730521397119034
19,28.18457115811187,12.683057021150336,46.50454241088458
20,27.81582071615811,12.517119322271153,45.896104181660895
21,15.023870784169699,6.760741852876364,24.78938679388
22,12.769722760383528,5.746375242172587,21.070042554632824
23,9.996172889360656,4.498277800212295,16.49368526744508
24,14.463570590547606,6.508606765746424,23.86489147440355
25,10.645200238148341,4.790340107166755,17.564580392944762
26,17.686432150494507,7.95889446772253,29.18261304831594
27,8.143469523158554,3.664561285421349,13.436724713211618
28,20.56504920199644,9.254272140898399,33.932331183294124
29,13.661379851829011,6.147620933323055,22.541276755517867
30,17.32423401078642,7.795905304853889,28.5849861177976
31,12.367497271330494,5.565373772098723,20.406370497695313
32,13.970472815901832,6.286712767155824,23.051280146238025
33,15.972112153406606,7.187450469032973,26.353985053120898
34,21.338087085818746,9.602139188618436,35.207843691600914
35,16.941564608946127,7.623704074025759,27.953581604761116
36,3.392910990110805,1.5268099455498625,5.598303133682829
37,11.90762412323943,5.358430855457744,19.647579803345064
38,2.1584844146338824,0.9713179865852474,3.5614992841459068
39,4.281999765442082,1.926899894448937,7.065299612979437
40,1.2578925889867154,0.5660516650440219,2.07552277182808
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,28.182105757076748,12.681947590684539,46.500474499176654
45,24.73238717735736,11.129574229810814,40.808438842639646
