PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

MAIN PLOT #,ROOT BIOMASS (Mg ha^-1),ROOT CARBON STOCK (Mg ha^-1),ROOT CO2 (Mg ha^-1)
1,8.85721800546033,3.985748102457149,14.614409709009543
2,3.738800686933736,1.682460309120181,6.169021133440665
3,1.8748059044290117,0.8436626569930553,3.0934297423078694
4,10.952818564443035,4.9287683539993665,18.07215063133101
5,2.2109752854592895,0.9949388784566802,3.6481092210078274
6,24.137209909564792,10.861744459304155,39.826396350781906
7,29.84911221299145,13.432100495846152,49.251035151435886
8,8.383332913109772,3.772499810899397,13.832499306631124
9,1.679624420898481,0.7558309894043164,2.7713802944824932
10,6.4345479115157325,2.8955465601820802,10.61700405400096
11,23.95732815900302,10.780797671551355,39.529591462354965
12,6.169794913366793,2.7764077110150573,10.180161607055208
13,9.544841475382182,4.295178663921982,15.7489884343806
14,36.75501719028173,16.539757735626775,60.64577836396485
15,13.338311760517119,6.002240292232702,22.00821440485324
16,10.567841528215906,4.755528687697158,17.436938521556232
17,0.6227118376230842,0.28022032693038795,1.0274745320780891
18,3.5518126749235828,1.5983157037156126,5.860490913623912
19,0.41293030407837944,0.18581863683527075,0.681335001729326
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,6.994234634850488,3.147405585682719,11.5404871475033
24,6.448422271909205,2.9017900223591426,10.639896748650187
25,0.0,0.0,0.0
26,11.069715062364287,4.98137177806393,18.265029852901073
27,18.021027405380117,8.109462332421053,29.7346952188772
28,5.198045992296614,2.339120696533477,8.576775887289415
29,26.868125060838427,12.090656277377295,44.33240635038341
30,10.282757665919458,4.627240949663755,16.966550148767105
31,29.047945422146253,13.071575439965812,47.92910994654132
32,7.294208924986879,3.282394016244096,12.035444726228352
33,5.92897803365664,2.668040115145488,9.782813755533455
34,3.4241021222417367,1.5408459550087816,5.6497685016988655
35,2.3184600420184975,1.043307018908324,3.825459069330521
36,1.6844085852256045,0.7579838633515221,2.779274165622248
37,10.95559804724539,4.930019121260426,18.076736777954892
38,34.64335543719504,15.58950994673777,57.16153647137181
39,2.310489357748157,1.0397202109866703,3.8123074402844574
40,0.47721473644490153,0.21474663140020572,0.7874043151340876
41,1.6441858469694384,0.7398836311362473,2.7129066474995738
42,0.40925516028210196,0.18416482212694588,0.6752710144654682
43,3.0165912508605985,1.3574660628872692,4.977375563919988
44,13.083229304739534,5.887453187132793,21.58732835282024
45,0.0,0.0,0.0
