PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

MAIN PLOT #,TBD (Mg ha^-1),TREE CARBON STOCK (Mg ha^-1),TREE CO2 (Mg ha^-1)
1,54.957940659252614,24.731073296663684,90.68060208776683
2,134.0819986531423,60.33689939391406,221.23529777768488
3,65.71116756430203,29.57002540393591,108.42342648109832
4,156.9157758797689,70.61209914589601,258.9110302016188
5,127.29400985732272,57.28230443579525,210.03511626458257
6,95.60097778636258,43.02044000386317,157.7416133474983
7,77.86093838306311,35.037422272378414,128.47054833205414
8,143.09010517837882,64.3905473302705,236.09867354432515
9,6.472390463128665,2.9125757084078994,10.679444264162298
10,11.807199746128989,5.313239885758045,19.48187958111283
11,77.76440905143389,34.99398407314524,128.3112749348659
12,123.09079996261734,55.39085998317779,203.09981993831863
13,96.42840423456256,43.39278190555316,159.1068669870282
14,161.3779321005704,72.62006944525669,266.27358796594115
15,68.64631103461502,30.890839965576767,113.26641320711481
16,135.7711119769021,61.09700038960597,224.0223347618885
17,75.60059910908072,34.020269599086326,124.7409885299832
18,111.09055951524569,49.99075178186055,183.29942320015536
19,192.5273853818864,86.63732342184886,317.6701858801125
20,189.84353938238218,85.42959272207199,313.24183998093054
21,99.50588786257507,44.777649538158784,164.18471497324887
22,88.53538041857281,39.84092118835777,146.08337769064514
23,68.52976472469705,30.83839412611367,113.0741117957501
24,97.81729221838273,44.01778149827223,161.39853216033148
25,72.26619313743224,32.51978691184451,119.2392186767632
26,124.70503470965956,56.117265619346796,205.76330727093824
27,55.760702673130055,25.092316202908524,92.00515941066459
28,142.1827342398625,63.982230407938125,234.6015114957732
29,88.33909871090938,39.75259441990924,145.75951287300052
30,119.93101794494194,53.96895807522388,197.8861796091542
31,81.31921153925941,36.593645192666756,134.17669903977807
32,91.75210374660527,41.288446685972374,151.39097118189872
33,101.70673869901965,45.76803241455883,167.81611885338242
34,135.9334134833008,61.17003606748537,224.29013224744628
35,115.09451815423698,51.79253316940664,189.90595495449102
36,22.615025635309564,10.176761535889304,37.314792298260784
37,82.60288410018248,37.17129784508211,136.29475876530103
38,12.891602217935061,5.801220998070778,21.27114365959285
39,29.061990186292938,13.077895583831824,47.95228380738335
40,7.980665753621465,3.59129958912966,13.168098493475417
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,183.44985708517234,82.55243568832756,302.69226419053444
45,160.7237493341676,72.32568720037541,265.19418640137656
