22,R4,85.00,72.00
22,R5,116.00,102.00
22,L1,95.00,81.00
22,L2,71.00,58.00
22,L3,101.00,86.00
22,L4,150.00,127.00
22,L5,101.00,89.00
23,R1,643.00,522.00
23,R2,372.00,303.00
23,R3,285.00,240.00
23,R4,216.00,186.00
23,R5,168.00,144.00
23,L1,473.00,392.00
23,L2,1261.00,976.00
23,L3,767.00,637.00
23,L4,1440.00,1205.00
23,L5,291.00,241.00
24,R1,539.00,441.00
24,R2,581.00,303.00
24,R3,504.00,232.00
24,R4,293.00,188.00
24,R5,279.00,235.00
24,L1,438.00,357.00
24,L2,519.00,319.00
24,L3,432.00,290.00
24,L4,411.00,348.00
24,L5,514.00,371.00
25,R1,361.00,269.00
25,R2,497.00,351.00
25,R3,330.00,247.00
25,R4,355.00,258.00
25,R5,130.00,87.00
25,L1,472.00,301.00
25,L2,640.00,510.00
25,L3,342.00,283.00
25,L4,304.00,240.00
25,L5,219.00,170.00
26,R1,441.00,365.00
26,R2,414.00,353.00
26,R3,360.00,311.00
26,R4,300.00,260.00
26,R5,400.00,354.00
26,L1,378.00,324.00
26,L2,333.00,285.00
26,L3,343.00,307.00
26,L4,440.00,383.00
26,L5,349.00,298.00
27,R1,405.00,352.00
27,R2,489.00,425.00
27,R3,130.00,116.00
27,R4,125.00,109.00
27,R5,241.00,207.00
27,L1,267.00,223.00
27,L2,142.00,125.00
27,L3,225.00,200.00
27,L4,258.00,232.00
27,L5,136.00,119.00
28,R1,0.00,0.00
28,R2,214.00,179.00
28,R3,203.00,169.00
28,R4,281.00,239.00
28,R5,151.00,134.00
28,L1,102.00,87.00
28,L2,116.00,101.00
28,L3,131.00,108.00
28,L4,242.00,203.00
28,L5,230.00,203.00
29,R1,232.00,188.00
29,R2,301.00,239.00
29,R3,222.00,185.00
29,R4,381.00,276.00
29,R5,234.00,182.00
29,L1,224.00,168.00
29,L2,193.00,157.00
29,L3,292.00,178.00
29,L4,367.00,172.00
29,L5,233.00,174.00
30,R1,283.00,225.00
30,R2,342.00,282.00
30,R3,272.00,220.00
30,R4,152.00,129.00
30,R5,191.00,157.00
30,L1,226.00,183.00
30,L2,242.00,197.00
30,L3,143.00,118.00
30,L4,143.00,118.00
30,L5,138.00,107.00
31,R1,266.00,208.00
31,R2,231.00,193.00
31,R3,275.00,207.00
31,R4,296.00,242.00
31,R5,203.00,164.00
31,L1,114.00,88.00
31,L2,280.00,179.00
31,L3,168.00,134.00
31,L4,249.00,191.00
31,L5,193.00,142.00
32,R1,372.00,309.00
32,R2,337.00,271.00
32,R3,376.00,308.00
32,R4,264.00,177.00
32,R5,224.00,166.00
32,L1,85.00,62.00
32,L2,160.00,128.00
32,L3,246.00,180.00
32,L4,220.00,161.00
32,L5,525.00,316.00
33,R1,95.00,62.00
33,R2,143.00,90.00
33,R3,47.00,35.00
33,R4,432.00,344.00
33,R5,332.00,235.00
33,L1,369.00,192.00
33,L2,423.00,215.00
33,L3,205.00,132.00
33,L4,154.00,127.00
33,L5,383.00,243.00
34,R1,264.00,96.00
34,R2,175.00,89.00
34,R3,339.00,175.00
34,R4,149.00,99.00
34,R5,150.00,80.00
34,L1,242.00,123.00
34,L2,267.00,138.00
34,L3,261.00,159.00
34,L4,275.00,154.00
34,L5,237.00,123.00
35,R1,91.00,76.00
35,R2,102.00,87.00
35,R3,97.00,83.00
35,R4,84.00,67.00
35,R5,88.00,73.00
35,L1,121.00,103.00
35,L2,204.00,171.00
35,L3,286.00,248.00
35,L4,205.00,177.00
35,L5,300.00,252.00
36,R1,62.00,52.00
36,R2,116.00,93.00
36,R3,212.00,180.00
36,R4,108.00,91.00
36,R5,197.00,166.00
36,L1,94.00,77.00
36,L2,104.00,87.00
36,L3,209.00,180.00
36,L4,246.00,90.00
36,L5,191.00,168.00
37,R1,159.00,139.00
37,R2,150.00,128.00
37,R3,145.00,127.00
37,R4,145.00,124.00
37,R5,87.00,73.00
37,L1,133.00,113.00
37,L2,148.00,126.00
37,L3,371.00,336.00
37,L4,241.00,215.00
37,L5,214.00,194.00
38,R1,86.00,76.00
38,R2,100.00,87.00
38,R3,121.00,108.00
38,R4,136.00,123.00
38,R5,193.00,173.00
38,L1,179.00,158.00
38,L2,93.00,84.00
38,L3,189.00,171.00
38,L4,402.00,362.00
38,L5,196.00,172.00
39,R1,133.00,104.00
39,R2,124.00,94.00
39,R3,249.00,157.00
39,R4,222.00,155.00
39,R5,120.00,76.00
39,L1,280.00,150.00
39,L2,192.00,118.00
39,L3,150.00,104.00
39,L4,89.00,63.00
39,L5,176.00,78.00
40,R1,100.00,85.00
40,R2,166.00,117.00
40,R3,178.00,144.00
40,R4,192.00,80.00
40,R5,188.00,147.00
40,L1,94.00,79.00
40,L2,145.00,126.00
40,L3,84.00,69.00
40,L4,89.00,73.00
40,L5,105.00,88.00
41,R1,116.00,97.00
41,R2,85.00,68.00
41,R3,84.00,68.00
41,R4,261.00,224.00
41,R5,103.00,86.00
41,L1,97.00,81.00
41,L2,62.00,52.00
41,L3,223.00,192.00
41,L4,205.00,87.00
41,L5,126.00,90.00
42,R1,188.00,166.00
42,R2,61.00,51.00
42,R3,85.00,72.00
42,R4,95.00,79.00
42,R5,103.00,88.00
42,L1,79.00,65.00
42,L2,126.00,96.00
42,L3,95.00,80.00
42,L4,181.00,148.00
42,L5,79.00,66.00
43,R1,510.00,435.00
43,R2,174.00,147.00
43,R3,143.00,118.00
43,R4,144.00,119.00
43,R5,366.00,317.00
43,L1,148.00,120.00
43,L2,273.00,234.00
43,L3,308.00,249.00
43,L4,340.00,294.00
43,L5,351.00,310.00
44,R1,217.00,175.00
44,R2,698.00,555.00
44,R3,292.00,214.00
44,R4,195.00,135.00
44,R5,406.00,253.00
44,L1,628.00,513.00
44,L2,477.00,373.00
44,L3,514.00,337.00
44,L4,281.00,179.00
44,L5,1275.00,851.00
45,R1,0.00,0.00
45,R2,291.00,185.00
45,R3,336.00,231.00
45,R4,0.00,0.00
45,R5,243.00,210.00
45,L1,332.00,234.00
45,L2,296.00,182.00
45,L3,272.00,181.00
45,L4,289.00,224.00
45,L5,148.00,128.00
